profile_id,month,hour,input_id,input_type,carrier_id,value,unit,price_id,remark
M01,1,14,waste_heat,recoverable_energy,heat,419.231,kW,,synthesized by seasonal/hourly interpolation from template anchors
M01,1,14,temperature,environment,temperature,,C,,generated from raw weather_data monthly-hourly average
M01,1,15,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M01,1,15,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M01,1,15,solar_resource,renewable_resource,solar_resource,0,W/m2,,generated from raw weather_data monthly-hourly average
M01,1,15,waste_heat,recoverable_energy,heat,403.846,kW,,synthesized by seasonal/hourly interpolation from template anchors
M01,1,15,temperature,environment,temperature,,C,,generated from raw weather_data monthly-hourly average
M01,1,16,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M01,1,16,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M01,1,16,solar_resource,renewable_resource,solar_resource,0,W/m2,,generated from raw weather_data monthly-hourly average
M01,1,16,waste_heat,recoverable_energy,heat,388.462,kW,,synthesized by seasonal/hourly interpolation from template anchors
M01,1,16,temperature,environment,temperature,,C,,generated from raw weather_data monthly-hourly average
M01,1,17,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M01,1,17,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M01,1,17,solar_resource,renewable_resource,solar_resource,0,W/m2,,generated from raw weather_data monthly-hourly average
M01,1,17,waste_heat,recoverable_energy,heat,373.077,kW,,synthesized by seasonal/hourly interpolation from template anchors
M01,1,17,temperature,environment,temperature,,C,,generated from raw weather_data monthly-hourly average
M01,1,18,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M01,1,18,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M01,1,18,solar_resource,renewable_resource,solar_resource,0,W/m2,,generated from raw weather_data monthly-hourly average
M01,1,18,waste_heat,recoverable_energy,heat,357.692,kW,,synthesized by seasonal/hourly interpolation from template anchors
M01,1,18,temperature,environment,temperature,,C,,generated from raw weather_data monthly-hourly average
M01,1,19,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M01,1,19,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M01,1,19,solar_resource,renewable_resource,solar_resource,0,W/m2,,generated from raw weather_data monthly-hourly average
M01,1,19,waste_heat,recoverable_energy,heat,342.308,kW,,synthesized by seasonal/hourly interpolation from template anchors
M01,1,19,temperature,environment,temperature,,C,,generated from raw weather_data monthly-hourly average
M01,1,20,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M01,1,20,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M01,1,20,solar_resource,renewable_resource,solar_resource,0,W/m2,,generated from raw weather_data monthly-hourly average
M01,1,20,waste_heat,recoverable_energy,heat,326.923,kW,,synthesized by seasonal/hourly interpolation from template anchors
M01,1,20,temperature,environment,temperature,,C,,generated from raw weather_data monthly-hourly average
M01,1,21,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M01,1,21,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M01,1,21,solar_resource,renewable_resource,solar_resource,0,W/m2,,generated from raw weather_data monthly-hourly average
M01,1,21,waste_heat,recoverable_energy,heat,311.538,kW,,synthesized by seasonal/hourly interpolation from template anchors
M01,1,21,temperature,environment,temperature,,C,,generated from raw weather_data monthly-hourly average
M01,1,22,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M01,1,22,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M01,1,22,solar_resource,renewable_resource,solar_resource,0,W/m2,,generated from raw weather_data monthly-hourly average
M01,1,22,waste_heat,recoverable_energy,heat,296.154,kW,,synthesized by seasonal/hourly interpolation from template anchors
M01,1,22,temperature,environment,temperature,,C,,generated from raw weather_data monthly-hourly average
M01,1,23,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M01,1,23,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M01,1,23,solar_resource,renewable_resource,solar_resource,0,W/m2,,generated from raw weather_data monthly-hourly average
M01,1,23,waste_heat,recoverable_energy,heat,280.769,kW,,synthesized by seasonal/hourly interpolation from template anchors
M01,1,23,temperature,environment,temperature,,C,,generated from raw weather_data monthly-hourly average
M01,1,24,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M01,1,24,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M01,1,24,solar_resource,renewable_resource,solar_resource,0,W/m2,,generated from raw weather_data monthly-hourly average
M01,1,24,waste_heat,recoverable_energy,heat,265.385,kW,,synthesized by seasonal/hourly interpolation from template anchors
M01,1,24,temperature,environment,temperature,,C,,generated from raw weather_data monthly-hourly average
M02,2,1,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M02,2,1,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M02,2,1,solar_resource,renewable_resource,solar_resource,0,W/m2,,generated from raw weather_data monthly-hourly average
M02,2,1,waste_heat,recoverable_energy,heat,260,kW,,synthesized by seasonal/hourly interpolation from template anchors
M02,2,1,temperature,environment,temperature,5.3,C,,generated from raw weather_data monthly-hourly average
M02,2,2,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M02,2,2,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M02,2,2,solar_resource,renewable_resource,solar_resource,0,W/m2,,generated from raw weather_data monthly-hourly average
M02,2,2,waste_heat,recoverable_energy,heat,278.182,kW,,synthesized by seasonal/hourly interpolation from template anchors
M02,2,2,temperature,environment,temperature,5.07,C,,generated from raw weather_data monthly-hourly average
M02,2,3,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M02,2,3,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M02,2,3,solar_resource,renewable_resource,solar_resource,0,W/m2,,generated from raw weather_data monthly-hourly average
M02,2,3,waste_heat,recoverable_energy,heat,296.364,kW,,synthesized by seasonal/hourly interpolation from template anchors
M02,2,3,temperature,environment,temperature,4.885,C,,generated from raw weather_data monthly-hourly average
M02,2,4,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M02,2,4,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M02,2,4,solar_resource,renewable_resource,solar_resource,0,W/m2,,generated from raw weather_data monthly-hourly average
M02,2,4,waste_heat,recoverable_energy,heat,314.545,kW,,synthesized by seasonal/hourly interpolation from template anchors
M02,2,4,temperature,environment,temperature,4.717,C,,generated from raw weather_data monthly-hourly average
M02,2,5,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M02,2,5,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M02,2,5,solar_resource,renewable_resource,solar_resource,0,W/m2,,generated from raw weather_data monthly-hourly average
M02,2,5,waste_heat,recoverable_energy,heat,332.727,kW,,synthesized by seasonal/hourly interpolation from template anchors
M02,2,5,temperature,environment,temperature,4.428,C,,generated from raw weather_data monthly-hourly average
M02,2,6,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M02,2,6,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M02,2,6,solar_resource,renewable_resource,solar_resource,0,W/m2,,generated from raw weather_data monthly-hourly average
M02,2,6,waste_heat,recoverable_energy,heat,350.909,kW,,synthesized by seasonal/hourly interpolation from template anchors
M02,2,6,temperature,environment,temperature,4.293,C,,generated from raw weather_data monthly-hourly average
M02,2,7,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M02,2,7,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M02,2,7,solar_resource,renewable_resource,solar_resource,0,W/m2,,generated from raw weather_data monthly-hourly average
M02,2,7,waste_heat,recoverable_energy,heat,369.091,kW,,synthesized by seasonal/hourly interpolation from template anchors
M02,2,7,temperature,environment,temperature,4.147,C,,generated from raw weather_data monthly-hourly average
M02,2,8,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M02,2,8,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M02,2,8,solar_resource,renewable_resource,solar_resource,15.9,W/m2,,generated from raw weather_data monthly-hourly average
M02,2,8,waste_heat,recoverable_energy,heat,387.273,kW,,synthesized by seasonal/hourly interpolation from template anchors
M02,2,8,temperature,environment,temperature,4.58,C,,generated from raw weather_data monthly-hourly average
M02,2,9,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M02,2,9,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M02,2,9,solar_resource,renewable_resource,solar_resource,109.65,W/m2,,generated from raw weather_data monthly-hourly average
M02,2,9,waste_heat,recoverable_energy,heat,405.455,kW,,synthesized by seasonal/hourly interpolation from template anchors
M02,2,9,temperature,environment,temperature,5.916,C,,generated from raw weather_data monthly-hourly average
M02,2,10,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M02,2,10,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M02,2,10,solar_resource,renewable_resource,solar_resource,197.4,W/m2,,generated from raw weather_data monthly-hourly average
M02,2,10,waste_heat,recoverable_energy,heat,423.636,kW,,synthesized by seasonal/hourly interpolation from template anchors
M02,2,10,temperature,environment,temperature,7.458,C,,generated from raw weather_data monthly-hourly average
M02,2,11,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M02,2,11,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M02,2,11,solar_resource,renewable_resource,solar_resource,302.45,W/m2,,generated from raw weather_data monthly-hourly average
M02,2,11,waste_heat,recoverable_energy,heat,441.818,kW,,synthesized by seasonal/hourly interpolation from template anchors
M02,2,11,temperature,environment,temperature,8.96,C,,generated from raw weather_data monthly-hourly average
M02,2,12,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M02,2,12,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M02,2,12,solar_resource,renewable_resource,solar_resource,320.1,W/m2,,generated from raw weather_data monthly-hourly average
M02,2,12,waste_heat,recoverable_energy,heat,460,kW,,synthesized by seasonal/hourly interpolation from template anchors
M02,2,12,temperature,environment,temperature,9.711,C,,generated from raw weather_data monthly-hourly average
M02,2,13,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M02,2,13,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M02,2,13,solar_resource,renewable_resource,solar_resource,293.7,W/m2,,generated from raw weather_data monthly-hourly average
M02,2,13,waste_heat,recoverable_energy,heat,444.615,kW,,synthesized by seasonal/hourly interpolation from template anchors
M02,2,13,temperature,environment,temperature,10.207,C,,generated from raw weather_data monthly-hourly average
M02,2,14,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M02,2,14,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M02,2,14,solar_resource,renewable_resource,solar_resource,289.6,W/m2,,generated from raw weather_data monthly-hourly average
M02,2,14,waste_heat,recoverable_energy,heat,429.231,kW,,synthesized by seasonal/hourly interpolation from template anchors
M02,2,14,temperature,environment,temperature,10.551,C,,generated from raw weather_data monthly-hourly average
M02,2,15,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M02,2,15,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M02,2,15,solar_resource,renewable_resource,solar_resource,237.4,W/m2,,generated from raw weather_data monthly-hourly average
M02,2,15,waste_heat,recoverable_energy,heat,413.846,kW,,synthesized by seasonal/hourly interpolation from template anchors
M02,2,15,temperature,environment,temperature,10.637,C,,generated from raw weather_data monthly-hourly average
M02,2,16,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M02,2,16,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M02,2,16,solar_resource,renewable_resource,solar_resource,197.8,W/m2,,generated from raw weather_data monthly-hourly average
M02,2,16,waste_heat,recoverable_energy,heat,398.462,kW,,synthesized by seasonal/hourly interpolation from template anchors
M02,2,16,temperature,environment,temperature,10.578,C,,generated from raw weather_data monthly-hourly average
M02,2,17,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M02,2,17,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M02,2,17,solar_resource,renewable_resource,solar_resource,132.55,W/m2,,generated from raw weather_data monthly-hourly average
M02,2,17,waste_heat,recoverable_energy,heat,383.077,kW,,synthesized by seasonal/hourly interpolation from template anchors
M02,2,17,temperature,environment,temperature,10.25,C,,generated from raw weather_data monthly-hourly average
M02,2,18,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M02,2,18,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M02,2,18,solar_resource,renewable_resource,solar_resource,42.05,W/m2,,generated from raw weather_data monthly-hourly average
M02,2,18,waste_heat,recoverable_energy,heat,367.692,kW,,synthesized by seasonal/hourly interpolation from template anchors
M02,2,18,temperature,environment,temperature,9.756,C,,generated from raw weather_data monthly-hourly average
M02,2,19,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M02,2,19,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M02,2,19,solar_resource,renewable_resource,solar_resource,9.2,W/m2,,generated from raw weather_data monthly-hourly average
M02,2,19,waste_heat,recoverable_energy,heat,352.308,kW,,synthesized by seasonal/hourly interpolation from template anchors
M02,2,19,temperature,environment,temperature,8.86,C,,generated from raw weather_data monthly-hourly average
M02,2,20,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M02,2,20,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M02,2,20,solar_resource,renewable_resource,solar_resource,6.55,W/m2,,generated from raw weather_data monthly-hourly average
M02,2,20,waste_heat,recoverable_energy,heat,336.923,kW,,synthesized by seasonal/hourly interpolation from template anchors
M02,2,20,temperature,environment,temperature,8.269,C,,generated from raw weather_data monthly-hourly average
M02,2,21,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M02,2,21,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M02,2,21,solar_resource,renewable_resource,solar_resource,5.4,W/m2,,generated from raw weather_data monthly-hourly average
M02,2,21,waste_heat,recoverable_energy,heat,321.538,kW,,synthesized by seasonal/hourly interpolation from template anchors
M02,2,21,temperature,environment,temperature,7.681,C,,generated from raw weather_data monthly-hourly average
M02,2,22,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M02,2,22,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M02,2,22,solar_resource,renewable_resource,solar_resource,3.55,W/m2,,generated from raw weather_data monthly-hourly average
M02,2,22,waste_heat,recoverable_energy,heat,306.154,kW,,synthesized by seasonal/hourly interpolation from template anchors
M02,2,22,temperature,environment,temperature,7.258,C,,generated from raw weather_data monthly-hourly average
M02,2,23,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M02,2,23,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M02,2,23,solar_resource,renewable_resource,solar_resource,2.25,W/m2,,generated from raw weather_data monthly-hourly average
M02,2,23,waste_heat,recoverable_energy,heat,290.769,kW,,synthesized by seasonal/hourly interpolation from template anchors
M02,2,23,temperature,environment,temperature,6.695,C,,generated from raw weather_data monthly-hourly average
M02,2,24,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M02,2,24,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M02,2,24,solar_resource,renewable_resource,solar_resource,1.1,W/m2,,generated from raw weather_data monthly-hourly average
M02,2,24,waste_heat,recoverable_energy,heat,275.385,kW,,synthesized by seasonal/hourly interpolation from template anchors
M02,2,24,temperature,environment,temperature,6.405,C,,generated from raw weather_data monthly-hourly average
M03,3,1,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M03,3,1,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M03,3,1,solar_resource,renewable_resource,solar_resource,8.419,W/m2,,generated from raw weather_data monthly-hourly average
M03,3,1,waste_heat,recoverable_energy,heat,270,kW,,synthesized by seasonal/hourly interpolation from template anchors
M03,3,1,temperature,environment,temperature,10.35,C,,generated from raw weather_data monthly-hourly average
M03,3,2,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M03,3,2,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M03,3,2,solar_resource,renewable_resource,solar_resource,7.71,W/m2,,generated from raw weather_data monthly-hourly average
M03,3,2,waste_heat,recoverable_energy,heat,288.182,kW,,synthesized by seasonal/hourly interpolation from template anchors
M03,3,2,temperature,environment,temperature,9.931,C,,generated from raw weather_data monthly-hourly average
M03,3,3,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M03,3,3,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M03,3,3,solar_resource,renewable_resource,solar_resource,5.855,W/m2,,generated from raw weather_data monthly-hourly average
M03,3,3,waste_heat,recoverable_energy,heat,306.364,kW,,synthesized by seasonal/hourly interpolation from template anchors
M03,3,3,temperature,environment,temperature,9.428,C,,generated from raw weather_data monthly-hourly average
M03,3,4,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M03,3,4,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M03,3,4,solar_resource,renewable_resource,solar_resource,5.065,W/m2,,generated from raw weather_data monthly-hourly average
M03,3,4,waste_heat,recoverable_energy,heat,324.545,kW,,synthesized by seasonal/hourly interpolation from template anchors
M03,3,4,temperature,environment,temperature,9.074,C,,generated from raw weather_data monthly-hourly average
M03,3,5,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M03,3,5,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M03,3,5,solar_resource,renewable_resource,solar_resource,3.968,W/m2,,generated from raw weather_data monthly-hourly average
M03,3,5,waste_heat,recoverable_energy,heat,342.727,kW,,synthesized by seasonal/hourly interpolation from template anchors
M03,3,5,temperature,environment,temperature,8.745,C,,generated from raw weather_data monthly-hourly average
M03,3,6,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M03,3,6,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M03,3,6,solar_resource,renewable_resource,solar_resource,3.161,W/m2,,generated from raw weather_data monthly-hourly average
M03,3,6,waste_heat,recoverable_energy,heat,360.909,kW,,synthesized by seasonal/hourly interpolation from template anchors
M03,3,6,temperature,environment,temperature,8.454,C,,generated from raw weather_data monthly-hourly average
M03,3,7,grid_electricity,purchased_energy,electricity,,kW,electricity,grid purchase upper bound; blank means unlimited
M03,3,7,natural_gas,purchased_energy,natural_gas,,kWh,gas,natural gas purchase upper bound; blank means unlimited
M03,3,7,solar_resource,renewable_resource,solar_resource,6.323,W/m2,,generated from raw weather_data monthly-hourly average
